Student_ID,Name,Gender,Age,Department,10th_Percentage,12th_Percentage,CGPA,Attendance,Backlogs,Internships,Projects,Certifications,Coding_Rating,Aptitude_Score,Communication,Technical_Skill,Teamwork,Leadership,Problem_Solving,Resume_Score,Mock_Interview,Placement_Score,Placement_Status
STU0072,Lohit Agrawal,Male,21,Electronics,71.51,81.03,8.11,95,2,0,5,5,30,81,64,52,78,59,89,96,30,71.42,0
STU0073,Alka Golla,Male,20,Mechanical,60.58,76.79,9.0,72,2,3,6,6,44,98,45,67,58,69,98,65,59,91.94,1
STU0074,Keya Gour,Female,20,Information Technology,70.57,86.59,8.24,83,1,0,1,3,81,57,86,48,96,86,94,98,31,69.6,0
STU0075,Pooja Handa,Male,22,Electronics,72.82,60.92,7.85,89,4,3,2,4,53,70,99,93,53,93,94,60,40,75.67,1
STU0076,Neelima Madan,Female,23,Information Technology,70.63,91.5,8.72,89,5,3,1,8,96,37,61,100,67,75,55,66,59,82.3,1
STU0077,Neel Bhattacharyya,Female,23,Artificial Intelligence,69.13,82.98,8.33,83,4,1,2,7,48,73,46,55,62,50,97,80,95,62.62,0
STU0078,Urvashi Handa,Male,23,Civil,96.74,92.44,6.3,92,2,0,5,4,95,47,86,95,86,50,92,98,86,83.17,1
STU0079,Nikita Sharma,Female,20,Electronics,60.04,61.03,6.02,71,2,0,4,7,54,83,65,74,90,64,54,45,63,69.0,0
STU0080,Sanya Nath,Female,22,Mechanical,69.57,78.8,7.19,76,1,0,4,2,40,95,61,95,92,54,85,92,79,73.12,0
STU0081,Yachana Tak,Female,24,Computer Engineering,79.87,94.45,5.72,83,2,2,1,3,74,66,95,56,58,87,58,61,79,73.82,0
STU0082,Max Johal,Male,22,Electronics,75.67,85.43,8.04,96,2,0,4,8,86,80,84,70,56,42,96,77,55,85.29,1
STU0083,Harita Mall,Female,20,Artificial Intelligence,91.37,80.11,6.67,82,0,3,1,0,33,99,68,76,90,46,61,96,72,77.84,1
STU0084,Lakshit Ganesh,Female,22,Civil,72.65,74.19,9.37,92,3,1,3,8,47,39,53,85,92,82,93,86,79,73.77,0
STU0085,Tamanna Narasimhan,Female,23,Information Technology,74.63,72.49,8.11,86,5,3,4,1,39,68,49,49,63,98,46,58,79,65.68,0
STU0086,Chasmum Cheema,Male,22,Computer Engineering,86.98,82.32,7.8,66,5,1,6,0,79,75,58,81,50,69,97,100,41,71.08,0
STU0087,Odika Sampath,Female,20,Artificial Intelligence,84.04,68.3,7.69,91,4,0,5,5,63,59,47,87,62,97,95,99,76,68.91,0
STU0088,Hitesh Ganguly,Male,24,Electronics,89.03,88.24,7.44,78,0,1,2,0,81,91,74,52,75,65,74,95,83,77.36,1
STU0089,Indrajit Saxena,Female,22,Artificial Intelligence,82.7,82.84,7.72,61,3,3,2,8,65,43,47,46,63,66,42,68,71,73.39,0
STU0090,Leena Kade,Female,21,Computer Engineering,97.95,70.09,9.79,87,4,0,1,8,97,65,84,88,84,61,100,75,60,79.98,1
STU0091,Abdul Shanker,Female,22,Information Technology,88.41,90.9,9.41,68,0,3,2,8,37,78,57,49,86,55,98,76,96,91.1,1
STU0092,Adweta Morar,Female,21,Civil,60.19,69.66,8.21,87,3,3,1,5,54,95,40,55,55,73,60,67,49,70.85,0
STU0093,George Dhingra,Female,22,Electronics,96.35,96.16,9.04,90,3,3,4,8,58,52,77,49,94,50,68,67,82,92.33,1
STU0094,Michael Kamdar,Female,24,Mechanical,90.22,79.46,8.33,100,2,0,3,7,63,79,80,92,69,49,71,74,30,80.18,1
STU0095,Meghana Munshi,Male,23,Artificial Intelligence,89.75,95.41,5.52,61,1,0,4,5,54,61,47,78,75,90,97,65,47,71.31,0
STU0096,Hitesh Bhat,Female,21,Information Technology,74.65,84.49,7.71,81,4,2,3,7,46,92,69,87,87,76,68,48,96,77.08,1
STU0097,Waida Dixit,Male,20,Electronics,78.04,85.98,5.58,62,2,2,3,8,65,47,58,46,91,42,69,61,81,72.51,0
STU0098,Thomas Sachar,Female,22,Mechanical,60.94,86.22,7.51,61,4,1,5,1,55,63,41,95,81,60,52,41,85,64.94,0
STU0099,Anvi Bansal,Female,21,Computer Engineering,60.78,69.85,5.91,61,5,1,2,8,57,31,88,77,96,88,75,51,48,56.08,0
STU0100,Kalpit Vora,Female,24,Artificial Intelligence,69.76,92.69,6.19,92,3,1,5,4,68,49,87,86,69,43,55,55,70,75.62,1
STU0101,Diya Radhakrishnan,Male,21,Information Technology,69.79,68.08,6.29,96,1,1,1,8,61,45,81,39,58,87,95,83,34,66.82,0
STU0102,Ishanvi Sabharwal,Female,24,Artificial Intelligence,95.87,68.25,9.42,67,5,0,6,4,85,47,63,99,56,63,95,67,93,78.25,1
STU0103,Umang Toor,Male,24,Civil,80.54,81.43,7.17,97,0,1,4,0,61,94,76,97,67,68,54,53,89,84.24,1
STU0104,Mitali Dey,Male,21,Electronics,78.4,88.17,5.73,89,1,2,2,2,91,58,100,41,76,71,90,75,36,78.12,1
STU0105,Anjali Nagarajan,Male,21,Artificial Intelligence,85.13,84.16,9.59,63,2,0,4,7,72,71,93,70,76,94,60,68,94,87.46,1
STU0106,Janaki Garg,Female,24,Electronics,92.31,93.81,5.55,94,2,2,6,2,100,78,43,85,60,73,44,44,41,89.01,1
STU0107,Megha Narayan,Male,21,Artificial Intelligence,70.61,85.15,8.21,85,3,3,3,4,97,98,49,88,94,97,55,70,80,87.3,1
STU0108,Laksh Thakur,Male,23,Civil,78.32,84.55,5.72,78,1,3,1,4,49,74,96,100,65,51,59,44,85,80.98,1
STU0109,Chandresh Dada,Male,23,Electronics,91.31,85.14,9.81,100,0,1,1,6,55,41,78,73,69,73,91,65,64,83.71,1
STU0110,Urvi Sangha,Male,21,Mechanical,83.95,78.6,6.93,86,2,0,1,7,92,61,51,84,50,74,78,42,31,70.81,0
STU0111,Michael Lata,Female,20,Information Technology,89.32,83.43,6.97,88,5,0,4,2,97,82,66,88,56,41,71,68,70,70.77,0
STU0112,Aarav Prashad,Male,22,Electronics,86.83,89.15,8.08,98,5,0,5,5,69,66,81,89,75,62,83,75,84,74.61,0
STU0113,Finn Sinha,Male,23,Artificial Intelligence,74.11,84.6,5.83,62,5,0,5,5,36,82,85,60,76,53,51,76,66,60.73,0
STU0114,Jack Mahajan,Male,24,Information Technology,85.82,81.71,8.82,95,1,0,2,0,45,67,96,68,59,55,55,89,51,72.99,0
STU0115,Vidhi Shetty,Female,24,Information Technology,85.51,72.05,5.52,82,0,0,1,1,83,75,73,51,52,76,64,96,97,66.25,0
STU0116,Oni Parikh,Female,20,Civil,89.35,75.69,6.27,61,5,2,3,1,90,51,89,37,62,77,73,61,40,64.29,0
STU0117,Irya Ganesh,Female,22,Computer Engineering,73.27,95.46,7.49,69,5,3,6,8,40,31,67,72,50,46,43,96,71,77.3,1
STU0118,Agastya Wali,Female,24,Mechanical,76.88,88.11,7.27,96,0,1,2,4,37,74,41,86,67,40,74,64,70,72.49,0
STU0119,Suhani Chaudhary,Female,24,Electronics,69.82,94.54,9.36,79,5,1,5,1,78,73,93,85,80,90,72,55,68,79.91,1
STU0120,Ekaraj Kara,Male,23,Computer Engineering,72.13,92.31,8.45,65,1,3,2,0,74,100,87,93,52,85,50,99,71,88.69,1
STU0121,Azaan Om,Female,20,Information Technology,64.12,62.67,9.86,82,0,2,1,6,90,66,55,99,76,56,98,84,93,92.0,1
STU0122,Harita Mandal,Female,24,Artificial Intelligence,82.34,87.54,7.89,71,3,0,4,1,100,87,76,55,80,89,55,85,59,75.12,1
STU0123,Xiti Nagarajan,Female,21,Electronics,88.28,95.84,8.61,83,1,2,1,6,71,39,66,79,79,70,68,72,74,85.83,1
STU0124,Chakrika Sethi,Male,21,Artificial Intelligence,92.83,66.15,6.15,82,0,0,5,1,59,94,54,99,50,58,81,53,34,78.85,1
STU0125,Advay Dani,Female,20,Information Technology,97.39,81.9,7.04,68,2,2,6,5,84,70,86,67,99,96,40,43,55,92.31,1
STU0126,Vansha Chakraborty,Male,24,Computer Engineering,94.23,62.6,9.36,68,1,2,3,2,71,38,92,93,87,72,93,90,55,87.75,1
STU0127,Orinder Gole,Male,21,Electronics,87.66,95.77,5.61,62,3,3,6,0,65,85,48,91,82,47,73,61,69,81.81,1
STU0128,Chatura Sankaran,Female,20,Mechanical,79.17,60.41,7.46,76,5,0,6,4,73,57,80,76,97,76,58,87,62,67.93,0
STU0129,Advik Chacko,Female,24,Electronics,68.12,96.98,8.56,80,2,1,2,2,35,40,40,38,77,71,81,58,88,60.68,0
STU0130,Xiti Walia,Female,21,Mechanical,75.49,96.53,8.29,74,0,3,2,8,69,57,100,64,50,62,73,82,70,93.93,1
STU0131,Ridhi Ranganathan,Male,23,Computer Engineering,89.94,90.04,8.6,90,4,0,4,2,82,38,67,84,53,46,58,84,65,73.9,0
STU0132,Vasatika Dhar,Male,23,Civil,78.1,74.02,7.52,100,5,2,2,2,75,95,52,81,66,83,48,76,80,69.3,0
STU0133,Anika Contractor,Male,21,Electronics,88.85,81.94,5.72,82,1,1,1,1,39,53,44,75,67,82,56,51,57,58.67,0
STU0134,Nandini Kaur,Female,24,Civil,60.98,77.01,9.8,70,1,1,2,5,85,71,83,91,84,92,57,40,44,86.15,1
STU0135,Jeet Bahri,Female,22,Civil,60.22,74.73,6.14,85,2,2,3,1,100,41,93,49,94,60,89,43,58,73.32,0
STU0136,Jeet Bhavsar,Male,23,Civil,88.65,68.49,6.86,66,5,0,3,1,67,88,96,45,84,57,65,71,73,57.68,0
STU0137,Pranit Dyal,Male,24,Information Technology,96.45,92.24,7.11,85,0,3,1,1,96,53,94,60,63,93,94,87,65,87.44,1
STU0138,Praneel Rout,Male,20,Computer Engineering,66.53,68.03,9.21,73,0,2,3,4,31,60,79,88,80,48,47,77,70,84.88,1
STU0139,Jagat Goda,Female,23,Computer Engineering,65.32,94.06,7.47,86,1,1,6,4,61,76,72,71,51,87,98,93,97,84.23,1
STU0140,Dhruv Iyengar,Female,24,Electronics,95.44,85.36,6.69,60,2,0,3,6,57,43,71,46,91,41,91,70,31,65.01,0
STU0141,Charvi Nanda,Female,21,Information Technology,87.75,82.44,5.59,67,3,2,5,7,50,99,86,82,96,79,80,71,47,84.75,1
STU0142,Chakrika Lata,Female,20,Computer Engineering,77.49,91.46,5.78,94,4,3,3,4,72,54,61,44,83,51,58,54,33,69.86,0
STU0143,Shivani Wason,Male,24,Artificial Intelligence,75.82,69.45,9.8,63,0,0,6,5,67,92,91,94,99,76,61,44,78,97.03,1
STU0144,Omya Jani,Male,21,Computer Engineering,80.63,66.88,8.01,87,1,3,5,4,82,87,78,52,50,49,72,65,92,94.12,1
STU0145,Ishaan Salvi,Male,20,Artificial Intelligence,91.53,83.75,6.87,65,5,2,6,1,80,90,83,67,70,41,71,94,33,79.52,1
STU0146,Laksh Bala,Female,21,Computer Engineering,66.31,83.85,8.83,94,5,0,2,1,37,37,66,96,85,73,41,88,96,55.83,0
STU0147,Bachittar Raju,Male,23,Artificial Intelligence,96.89,65.85,9.68,60,2,3,5,0,71,61,45,93,60,48,71,49,86,90.18,1
STU0148,Gagan Dash,Female,20,Mechanical,82.82,88.79,8.55,90,0,0,3,7,78,58,100,90,86,46,62,98,74,91.26,1
STU0149,Balhaar Pingle,Female,24,Computer Engineering,97.9,70.11,5.73,82,3,3,5,5,75,58,71,46,75,82,78,43,71,81.11,1
STU0150,Sudiksha Modi,Female,20,Artificial Intelligence,85.03,96.38,6.35,76,1,1,4,5,48,56,97,98,62,89,95,83,65,81.94,1
STU0151,Bina Ahuja,Male,23,Civil,83.41,92.44,7.67,60,2,2,5,8,53,45,98,37,51,48,65,84,44,84.88,1
STU0152,Aradhana Vaidya,Male,21,Electronics,65.47,93.21,8.69,64,0,2,5,6,77,88,97,81,74,78,66,49,32,104.6,1
STU0153,Falak Karpe,Male,23,Electronics,76.68,97.72,9.15,64,4,1,5,3,79,55,76,70,59,93,53,65,71,79.89,1
STU0154,Charita Doctor,Male,21,Artificial Intelligence,71.27,92.85,5.99,81,2,1,3,1,94,47,59,39,50,91,83,94,43,65.04,0
STU0155,Ishani Gala,Female,22,Artificial Intelligence,83.67,83.76,6.02,62,1,0,4,3,89,67,63,90,98,89,69,66,45,77.23,1
STU0156,Vaishnavi Reddy,Female,20,Computer Engineering,72.5,89.31,8.95,80,5,1,1,3,94,52,94,58,54,46,54,63,93,68.58,0
STU0157,Chandani Pillay,Male,24,Artificial Intelligence,79.63,78.42,8.91,65,4,1,2,4,49,92,100,38,50,42,74,58,95,69.22,0
STU0158,Yashasvi Shan,Male,21,Artificial Intelligence,64.65,97.18,7.85,97,0,1,5,4,36,97,51,79,76,86,78,78,36,83.83,1
STU0159,Niharika Oak,Female,20,Electronics,92.4,71.11,5.76,100,3,1,2,6,87,73,86,41,92,43,42,61,72,69.92,0
STU0160,Udyati Thakkar,Female,22,Electronics,65.98,87.33,6.12,84,4,3,2,7,85,33,61,75,80,77,82,72,53,72.42,0
STU0161,Jagvi Jain,Male,21,Civil,71.1,64.37,7.51,92,1,1,3,3,42,80,78,47,59,43,86,46,56,68.97,0
STU0162,Qadim Borde,Male,20,Artificial Intelligence,94.16,71.76,5.68,70,2,1,1,1,57,91,91,100,72,87,40,88,72,68.2,0
STU0163,Madhavi Hans,Female,22,Electronics,92.34,65.88,6.72,67,5,2,2,5,39,39,95,94,59,53,40,65,54,64.26,0
STU0164,Michael Mani,Male,21,Civil,82.99,73.93,7.67,82,2,1,4,1,63,41,73,87,70,77,96,82,97,72.68,0
STU0165,Urishilla Goswami,Female,21,Artificial Intelligence,62.06,90.75,6.96,78,4,2,5,6,56,30,87,84,92,98,71,74,69,76.6,1
STU0166,Arin Garg,Female,20,Electronics,60.01,88.1,7.71,99,2,2,2,5,72,56,84,44,90,100,42,85,38,76.38,1
STU0167,Charan Kohli,Female,23,Mechanical,64.21,75.07,7.85,93,0,0,4,4,80,67,76,94,84,44,77,57,92,83.98,1
STU0168,Upkaar Hans,Female,21,Information Technology,64.0,91.03,5.76,94,1,0,2,6,79,42,55,48,63,55,91,60,41,65.07,0
STU0169,Libni Sankar,Female,22,Electronics,62.85,62.31,7.77,63,5,0,6,1,76,62,79,55,81,49,41,77,66,62.21,0
STU0170,Chameli Saini,Female,23,Computer Engineering,94.08,93.14,7.73,87,3,1,2,8,32,56,99,59,90,62,42,62,73,70.73,0
STU0171,Eshana Devan,Female,20,Civil,79.51,94.18,9.73,92,0,2,5,0,41,92,78,75,57,70,95,89,59,96.08,1
STU0172,Mitali Bhasin,Female,20,Computer Engineering,67.74,72.04,6.22,88,2,3,3,0,39,38,76,80,79,44,53,100,98,68.07,0
STU0173,Onveer Madan,Male,20,Information Technology,72.07,85.81,5.8,85,0,0,6,2,76,91,42,47,74,80,59,77,94,77.04,1
STU0174,Harsh Kade,Female,24,Artificial Intelligence,81.62,72.68,9.7,78,0,2,6,8,53,85,69,94,71,59,58,70,63,105.48,1
STU0175,Umang Kannan,Male,22,Civil,65.47,86.82,6.0,77,1,1,6,8,67,83,85,69,80,69,70,43,91,86.83,1
STU0176,Aadhya Chowdhury,Female,24,Artificial Intelligence,65.17,71.69,9.42,66,0,3,5,2,62,85,61,59,98,64,81,85,55,94.63,1
STU0177,Janani Chaudhuri,Female,23,Artificial Intelligence,90.48,78.34,9.28,97,3,0,1,0,56,49,97,66,81,63,65,83,48,65.89,0
STU0178,Dayamai Sarna,Female,20,Computer Engineering,86.78,82.3,8.53,80,2,2,1,2,81,97,49,69,61,67,59,58,33,81.62,1
STU0179,Mason Sarna,Male,21,Information Technology,60.78,61.08,6.0,61,2,0,3,2,62,71,52,38,58,73,80,70,55,54.64,0
STU0180,Lavanya Krishna,Female,23,Computer Engineering,65.66,82.28,8.22,74,1,3,3,6,76,68,43,88,51,80,70,55,61,87.23,1
STU0181,Dhriti Vora,Male,24,Mechanical,74.33,70.23,9.14,81,5,1,2,6,60,97,94,66,85,89,99,57,52,72.49,0
STU0182,Karan Garg,Male,20,Artificial Intelligence,80.2,74.81,9.7,73,3,2,6,6,100,56,84,100,97,81,59,50,95,100.55,1
STU0183,Gayathri Swaminathan,Female,22,Computer Engineering,90.92,60.9,8.71,93,0,2,5,2,49,78,63,37,76,78,87,69,96,88.4,1
STU0184,Xalak Parmer,Female,21,Mechanical,82.25,72.08,6.93,85,1,0,5,4,48,81,66,42,93,70,95,61,52,72.64,0
STU0185,Ishaan Borra,Male,21,Artificial Intelligence,61.93,79.92,5.96,87,4,2,6,6,95,59,65,65,90,84,80,93,93,80.6,1
STU0186,Imaran Wable,Male,21,Electronics,87.18,61.39,6.69,97,1,1,4,8,74,52,92,35,88,77,45,73,68,80.09,1
STU0187,Aashi Srinivasan,Male,22,Civil,70.26,89.43,7.63,93,0,2,3,0,72,57,79,97,67,79,54,50,70,84.98,1
STU0188,Ayushman Manda,Female,20,Information Technology,95.77,77.95,6.38,94,1,2,5,6,78,95,74,35,82,43,79,64,52,90.93,1
STU0189,Henry Toor,Female,23,Civil,65.28,93.19,5.89,72,1,1,1,4,78,93,85,58,97,53,80,97,57,72.53,0
STU0190,Saumya Srinivasan,Male,24,Computer Engineering,65.33,68.98,8.21,77,4,3,1,4,47,79,78,53,72,83,66,100,42,67.75,0
STU0191,Turvi Sekhon,Female,21,Computer Engineering,64.43,71.14,7.94,77,4,3,2,1,93,94,80,95,52,81,74,86,64,79.14,1
